Fecha	Vista	
03/02/2022	729861638,95	
02/02/2022	747415756,21	
01/02/2022	671468814,71	
31/01/2022	917048800,93	
28/01/2022	648195524,65	
27/01/2022	736679859,41	
26/01/2022	809957975,05	
25/01/2022	835402391,55	
24/01/2022	909128289,59	
21/01/2022	862072675,85	
20/01/2022	632103422,39	
19/01/2022	783397538,84	
18/01/2022	863308771,91	
14/01/2022	871397610,09	
13/01/2022	890908681,09	
12/01/2022	826056738,15	
11/01/2022	739347290,05	
07/01/2022	885843810,60	
06/01/2022	701379819,52	
05/01/2022	759770107,27	
04/01/2022	922323389,02	
03/01/2022	849276530,26	
30/12/2021	847960242,30	
29/12/2021	712520929,80	
28/12/2021	805248799,08	
27/12/2021	755524790,45	
23/12/2021	764959600,19	
22/12/2021	872290956,41	
21/12/2021	599519600,01	
20/12/2021	865601479,09	
17/12/2021	725870052,74	
16/12/2021	693269766,04	
15/12/2021	688148066,44	
14/12/2021	726803525,79	
10/12/2021	645249950,26	
09/12/2021	581949230,85	
08/12/2021	773614460,10	
07/12/2021	704889564,29	
06/12/2021	796001181,43	
03/12/2021	772740060,06	
02/12/2021	512496925,54	
01/12/2021	800058236,37	
30/11/2021	637650696,15	
29/11/2021	695012280,51	
26/11/2021	667296714,83	
25/11/2021	687620651,70	
24/11/2021	656916477,30	
23/11/2021	717425353,70	
19/11/2021	820087316,40	
18/11/2021	755108426,38	
17/11/2021	800034768,51	
16/11/2021	763645721,71	
15/11/2021	779891355,73	
12/11/2021	764461796,60	
11/11/2021	780629886,76	
10/11/2021	684296857,44	
09/11/2021	798633440,12	
08/11/2021	662863410,00	
05/11/2021	616186833,18	
04/11/2021	679607470,47	
03/11/2021	551272202,76	
02/11/2021	574707673,59	
29/10/2021	632271160,37	
28/10/2021	614452401,32	
27/10/2021	742756905,12	
26/10/2021	482755708,23	
25/10/2021	660245153,45	
22/10/2021	438912058,89	
21/10/2021	632281854,66	
20/10/2021	459410584,23	
19/10/2021	724503769,50	
18/10/2021	454777896,30	
15/10/2021	693249429,47	
14/10/2021	608519200,51	
13/10/2021	484162274,86	
11/10/2021	663325273,28	
08/10/2021	695294267,38	
07/10/2021	484652930,11	
06/10/2021	622574163,91	
05/10/2021	498046795,80	
04/10/2021	661821159,30	
29/09/2021	492730880,10	
28/09/2021	678174415,77	
27/09/2021	533132487,60	
24/09/2021	441098333,14	
23/09/2021	652840842,84	
22/09/2021	662088464,28	
21/09/2021	553991099,52	
20/09/2021	424945079,18	
17/09/2021	468369912,63	
16/09/2021	404279432,75	
15/09/2021	541399105,14	
14/09/2021	611987877,48	
13/09/2021	523815557,31	
10/09/2021	616346587,69	
09/09/2021	661911611,04	
08/09/2021	384849321,61	
07/09/2021	406453289,48	
06/09/2021	479648291,79	
03/09/2021	482176175,18	
02/09/2021	617828581,99	
01/09/2021	599597818,73	
31/08/2021	508347600,14	
30/08/2021	469054943,11	
27/08/2021	524640265,82	
26/08/2021	493763541,31	
25/08/2021	548347524,95	
24/08/2021	545264033,30	
23/08/2021	646331627,76	
20/08/2021	490391664,21	
19/08/2021	583693487,09	
18/08/2021	378184666,20	
17/08/2021	565897062,64	
16/08/2021	443879616,91	
13/08/2021	520458564,34	
12/08/2021	469205179,21	
11/08/2021	373187764,18	
10/08/2021	408832237,61	
09/08/2021	579710812,65	
06/08/2021	598725725,48	
05/08/2021	626342892,17	
04/08/2021	565863916,94	
03/08/2021	631770651,00	
02/08/2021	496884270,16	
30/07/2021	402303766,30	
29/07/2021	539223361,13	
28/07/2021	393343418,76	
27/07/2021	617054097,72	
26/07/2021	524124977,59	
23/07/2021	615880470,95	
22/07/2021	459962448,31	
21/07/2021	510014055,36	
20/07/2021	374637278,16	
19/07/2021	589132637,95	
16/07/2021	485217979,57	
15/07/2021	393823138,67	
14/07/2021	568123228,40	
13/07/2021	497006748,36	
12/07/2021	646362557,50	
09/07/2021	348668642,78	
08/07/2021	410327048,67	
07/07/2021	449735517,09	
06/07/2021	463020520,78	
02/07/2021	336277522,44	
01/07/2021	310576841,93	
30/06/2021	427822879,30	
29/06/2021	509272802,33	
25/06/2021	523784428,52	
23/06/2021	512496718,98	
22/06/2021	580357172,22	
21/06/2021	587247884,34	
18/06/2021	596666892,44	
17/06/2021	486556067,86	
16/06/2021	449284105,39	
15/06/2021	433638772,31	
11/06/2021	519897840,89	
10/06/2021	328771331,49	
09/06/2021	377824740,19	
08/06/2021	483239278,08	
07/06/2021	399205100,60	
04/06/2021	471758775,27	
03/06/2021	477735164,94	
02/06/2021	394881196,76	
01/06/2021	300957678,85	
31/05/2021	391362338,95	
28/05/2021	534801144,45	
27/05/2021	330887541,11	
26/05/2021	247649492,52	
25/05/2021	276360857,93	
21/05/2021	242060937,66	
20/05/2021	505939185,11	
19/05/2021	462992240,61	
18/05/2021	509551268,23	
17/05/2021	398954823,52	
14/05/2021	376740875,86	
13/05/2021	370999686,89	
12/05/2021	424543421,20	
11/05/2021	461761845,46	
10/05/2021	305864681,29	
07/05/2021	437121371,33	
06/05/2021	228329212,21	
05/05/2021	432342600,73	
04/05/2021	379696567,44	
03/05/2021	441465043,52	
30/04/2021	355620539,66	
29/04/2021	489027317,44	
28/04/2021	444532266,74	
27/04/2021	307810644,46	
26/04/2021	324746159,66	
23/04/2021	269036346,32	
22/04/2021	418332392,13	
21/04/2021	389602258,00	
20/04/2021	378488605,01	
16/04/2021	338738014,19	
15/04/2021	428981604,66	
14/04/2021	339646841,95	
13/04/2021	392148547,30	
12/04/2021	424219827,76	
09/04/2021	473120913,47	
08/04/2021	342183837,59	
07/04/2021	457348613,70	
06/04/2021	341877007,08	
05/04/2021	184176750,80	
31/03/2021	432361799,95	
30/03/2021	356049985,18	
